Id,SalePrice
1461,120207.81959505858
1462,158341.5653476396
1463,175541.09125497262
1464,185082.52596556238
1465,200203.5037467819
1466,172572.45808599307
1467,173089.1721537147
1468,166613.67359905088
1469,178697.74932344435
1470,121224.90629639717
1471,196184.87611448296
1472,94513.94169036091
1473,95900.63771403999
1474,150119.73080384263
1475,124310.94645539972
1476,380927.85930116795
1477,266672.2051660778
1478,300792.4901944516
1479,279180.6474774083
1480,478986.21693719673
1481,294868.0478318262
1482,213770.15936703968
1483,175299.2476796386
1484,161202.5393859056
1485,191157.04465464564
1486,199090.02980472808
1487,333885.3573838926
1488,240820.94047167295
1489,210792.80774165812
1490,226365.42769381218
1491,186638.9499828575
1492,89262.30361153303
1493,190974.86498431506
1494,294706.05231154873
1495,278599.5234440838
1496,240730.43408086195
1497,172755.97973383966
1498,158950.08761308267
1499,158329.52952286374
1500,154553.1609052037
1501,178595.79196271807
1502,154768.21719231148
1503,302077.9612395565
1504,238124.20845878613
1505,224696.71923557084
1506,166816.40871309786
1507,237363.11885614568
1508,185473.54394661225
1509,159547.02142801418
1510,140569.79638532762
1511,146015.95049997504
1512,167225.15478180046
1513,146694.67954635693
1514,166070.72486199834
1515,194112.16607024815
1516,156473.5672515315
1517,157622.47378779895
1518,119384.69951889361
1519,221781.54138824772
1520,134038.63874096615
1521,132414.15528100135
1522,175975.67387459116
1523,107988.88389769517
1524,130229.14941448077
1525,125838.22318095947
1526,114522.37408259063
1527,113873.35953897085
1528,137081.35170707337
1529,154189.6143246704
1530,165418.80173389163
1531,100942.44001353007
1532,106249.37945348996
1533,158700.91008983564
1534,124317.57597799788
1535,147648.90887957675
1536,110158.54711897689
1537,61962.615769073476
1538,160939.27764490992
1539,205680.177932328
1540,94467.59151486955
1541,134706.83406810072
1542,138128.00096320856
1543,208189.74937099882
1544,96815.05718751208
1545,116585.67237589054
1546,150377.51917606106
1547,136847.34205752437
1548,141376.93686931964
1549,121611.90808399265
1550,140490.8239804266
1551,105106.92874514878
1552,127189.8508141842
1553,156420.68416331426
1554,120232.19598223825
1555,165823.2665119838
1556,88625.20999060274
1557,103380.66271787621
1558,102506.72320664006
1559,96880.38188438192
1560,132591.62336136514
1561,132564.5835820499
1562,135238.7428089357
1563,127465.05461738037
1564,150597.69247189385
1565,151686.9468274491
1566,235140.40530364346
1567,75029.23206495451
1568,223329.23189223217
1569,128133.70898695334
1570,146728.40317436666
1571,121698.09107613096
1572,139959.7763824743
1573,239402.31246851123
1574,119442.66817518558
1575,226859.43246850028
1576,248822.8424453795
1577,194915.94866827969
